"phylum","subphylum","class","subclass","order","family","genus","species","infraclass","suborder","infraorder","sciName"
"Echinodermata","Asterozoa","Asteroidea",NA,"Forcipulatida","Asteriidae","Lethasterias","Lethasterias nanimensis",NA,NA,NA,"Lethasterias nanimensis"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Pleuronectiformes","Pleuronectidae","Limanda","Limanda aspera","Teleostei","Pleuronectoidei",NA,"Limanda aspera"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Liparidae",NA,NA,"Teleostei","Cottoidei",NA,"Liparidae"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Liparidae","Liparis","Liparis dennyi","Teleostei","Cottoidei",NA,"Liparis dennyi"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Liparidae","Liparis","Liparis gibbus","Teleostei","Cottoidei",NA,"Liparis gibbus"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Lithodidae","Lithodes","Lithodes aequispinus",NA,"Pleocyemata","Anomura","Lithodes aequispinus"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Lithodidae","Lopholithodes",NA,NA,"Pleocyemata","Anomura","Lopholithodes"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Lithodidae","Lopholithodes","Lopholithodes foraminatus",NA,"Pleocyemata","Anomura","Lopholithodes foraminatus"
"Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Lithodidae","Lopholithodes","Lopholithodes mandtii",NA,"Pleocyemata","Anomura","Lopholithodes mandtii"
"Echinodermata","Asterozoa","Asteroidea",NA,"Paxillosida","Luidiidae","Luidia","Luidia foliolata",NA,NA,NA,"Luidia foliolata"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Perciformes","Stichaeidae","Lumpenella","Lumpenella longirostris","Teleostei","Zoarcoidei",NA,"Lumpenella longirostris"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Perciformes","Stichaeidae","Lumpenus","Lumpenus fabricii","Teleostei","Zoarcoidei",NA,"Lumpenus fabricii"
NA,NA,NA,NA,NA,NA,NA,"Lumpenus maculatus",NA,NA,NA,"Lumpenus maculatus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Perciformes","Stichaeidae","Lumpenus","Lumpenus sagitta","Teleostei","Zoarcoidei",NA,"Lumpenus sagitta"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Perciformes","Zoarcidae","Lycodes","Lycodes brevipes","Teleostei","Zoarcoidei",NA,"Lycodes brevipes"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Perciformes","Zoarcidae","Lycodes","Lycodes palearis","Teleostei","Zoarcoidei",NA,"Lycodes palearis"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Pleuronectiformes","Pleuronectidae","Lyopsetta","Lyopsetta exilis","Teleostei","Pleuronectoidei",NA,"Lyopsetta exilis"
"Mollusca",NA,"Bivalvia","Heterodonta","Veneroida","Tellinidae","Macoma",NA,NA,NA,NA,"Macoma"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Gadiformes","Macrouridae",NA,NA,"Teleostei",NA,NA,"Macrouridae"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Psychrolutidae","Malacocottus","Malacocottus zonurus","Teleostei","Cottoidei",NA,"Malacocottus zonurus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus","Teleostei","Osmeroidei",NA,"Mallotus villosus"
"Echinodermata","Asterozoa","Asteroidea",NA,"Valvatida","Goniasteridae","Mediaster",NA,NA,NA,NA,"Mediaster"
"Echinodermata","Asterozoa","Asteroidea",NA,"Valvatida","Goniasteridae","Mediaster","Mediaster aequalis",NA,NA,NA,"Mediaster aequalis"
"Cnidaria","Anthozoa","Anthozoa","Hexacorallia","Actiniaria","Metridiidae","Metridium",NA,NA,"Nyantheae","Thenaria","Metridium"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Gadiformes","Gadidae","Microgadus","Microgadus proximus","Teleostei",NA,NA,"Microgadus proximus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus pacificus","Teleostei","Pleuronectoidei",NA,"Microstomus pacificus"
"Chordata","Urochordata","Ascidiacea",NA,"Pleurogona","Molgulidae","Molgula","Molgula griffithsii",NA,"Stolidobranchia",NA,"Molgula griffithsii"
"Echinodermata","Echinozoa","Holothuroidea","Apodacea","Molpadiida","Molpadiidae","Molpadia",NA,NA,NA,NA,"Molpadia"
"Echinodermata","Echinozoa","Holothuroidea","Apodacea","Molpadiida","Molpadiidae","Molpadia","Molpadia intermedia",NA,NA,NA,"Molpadia intermedia"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Myoxocephalus",NA,"Teleostei","Cottoidei",NA,"Myoxocephalus"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus jaok","Teleostei","Cottoidei",NA,"Myoxocephalus jaok"
